country,field,year,disclosed_investment,estimated_investment,complete,pillar,is_group
Australia,"Sales, retail, commerce, marketing",2020,15.0,103,True,investment,False
Australia,"Sales, retail, commerce, marketing",2021,29.0,40,True,investment,False
Australia,"Sales, retail, commerce, marketing",2022,25.0,73,True,investment,False
Australia,"Sales, retail, commerce, marketing",2023,6.0,52,True,investment,False
Australia,"Sales, retail, commerce, marketing",2024,9.0,54,True,investment,False
Australia,"Sales, retail, commerce, marketing",2025,33.0,96,False,investment,False
Australia,Software,2015,7.0,51,True,investment,False
Australia,Software,2016,23.0,67,True,investment,False
Australia,Software,2017,19.0,26,True,investment,False
Australia,Software,2018,36.0,49,True,investment,False
Australia,Software,2019,82.0,211,True,investment,False
Australia,Software,2020,120.0,336,True,investment,False
Australia,Software,2021,866.0,2464,True,investment,False
Australia,Software,2022,403.0,656,True,investment,False
Australia,Software,2023,134.0,418,True,investment,False
Australia,Software,2024,1858.0,2297,True,investment,False
Australia,Software,2025,421.0,582,False,investment,False
Australia,Speech Recognition,2018,7.0,7,True,investment,False
Australia,Speech Recognition,2020,,0,True,investment,False
Australia,Sports,2015,0.0,0,True,investment,False
Australia,Sports,2017,,1,True,investment,False
Australia,Sports,2018,0.0,0,True,investment,False
Australia,Sports,2019,,0,True,investment,False
Australia,Sports,2021,24.0,29,True,investment,False
Australia,Sports,2022,3.0,19,True,investment,False
Australia,Sports,2023,0.0,1,True,investment,False
Australia,Sports,2024,0.0,0,True,investment,False
Australia,Sports,2025,0.0,0,False,investment,False
Australia,Telecommunications,2019,0.0,1,True,investment,False
Australia,Telecommunications,2020,0.0,0,True,investment,False
